He 1 3.12911m
He 1 3.20727m
He 1 3.27805m
He 1 3.27880m
He 1 3.28058m
He 1 3.28058m
He 1 3.28090m
He 1 3.28090m
He 1 3.28097m
He 1 3.28098m
He 1 3.29407m
He 1 4.46582m
He 1 5.83291m
He 1 7.38228m
He 1 9.11392m
He 1 11.0278m
He 1 13.1240m
He 1 15.4025m
He 1 17.8633m
He 1 20.5063m
He 1 23.3316m
He 1 26.3392m
He 1 29.5291m
He 1 32.9012m
He 1 36.4557m
He 1 40.1924m
He 1 44.1114m
He 1 48.2126m
He 1 52.4962m
He 1 56.9620m
He 1 61.6101m
Li 2 163.933A
Li 2 746.442A
Li 2 842.963A
Li 2 864.026A
Li 2 863.986A
Li 2 864.003A
Li 2 924.255A
Li 2 1809.97A
Li 2 1952.14A
Li 2 1980.09A
Li 2 2050.85A
Li 2 2052.11A
Li 2 2072.50A
Li 2 3645.57A
Li 2 5696.20A
Be 3 80.5713A
Be 3 351.327A
Be 3 384.676A
Be 3 387.942A
Be 3 387.925A
Be 3 387.948A
Be 3 410.370A
Be 3 833.662A
Be 3 881.588A
Be 3 886.236A
Be 3 911.131A
Be 3 911.787A
Be 3 919.568A
Be 3 1620.25A
Be 3 2531.64A
B 4 47.8023A
B 4 203.914A
B 4 219.188A
